Team,Champion,Result
OUL,"Camille,Trundle,LeBlanc,Ezreal,Amumu",L
GS,"Gwen,Talon,Twisted Fate,Miss Fortune,Rakan",W
DFM,"Gnar,Xin Zhao,LeBlanc,Jhin,Alistar",L
C9,"Irelia,Qiyana,Sylas,Miss Fortune,Leona",W
GS,"Kennen,Qiyana,Ryze,Miss Fortune,Bardo",W
BYG,"Jarvan IV,Xin Zhao,Orianna,Ezreal,Braum",L
UOL,"Jayce,Lee Sin,Orianna,Lucian,Rakan",L
DFM,"Gnar,Talon,LeBlanc,Miss Fortune,Leona",W
HLE,"Renekton,Lee Sin,Azir,Ezreal,Leona",W
INF,"Graves,Xin Zhao,Zoey,Miss Fortune,Amumu",L
LNG,"Fiora,Qiyana,LeBlanc,Aphelios,Leona",W
PCE,"Gangplank,Zed,Galio,Miss Fortune,Amumu",L
INF,"Kennen,Jarvan IV,Sylas,Lucian,Nami",W
RED,"Camille,Lillia,Sett,Miss Fortune,Leona",L
HLE,"Irelia,Sejuani,Tryndamere,Ezreal,Karma",L
LNG,"Jax,Qiyana,Gragas,Miss Fortune,Rakan",W
C9,"Jarvan IV,Taliyah,Tryndamere,Ezreal,Leona",W
GS,"Jayce,Xin Zhao,Sylas,Miss Fortune,Tresh",L
BYG,"Jayce,Xin Zhao,Syndra,Ezreal,Rakan",W
UOL,"Wukong,Lee Sin,Sylas,Miss Fortune,Nautilus",L
GS,"Jayce,Lee Sin,Azir,Lucian,Nami",L
DFM,"Urgot,Xin Zhao,Zoey,Aphelios,Tresh",W
BYG,"Lillia,Graves,Yone,Miss Fortune,Amumu",L
C9,"Malphite,Lee Sin,Sylas,Ezreal,Leona",W
RED,"Jax,Xin Zhao,Twisted Fate,Miss Fortune,Amumu",L
HLE,"Camille,Taliyah,Sylas,Kai'sa,Leona",W
INF,"Gnar,Lee Sin,Sylas,Aphelios,Rakan",L
PCE,"Jayce,Lillia,Irelia,Xayah,Leona",W
RED,"Kennen,Xin Zhao,Irelia,Miss Fortune,Lulu",L
LNG,"Jayce,Gragas,Zed,Lucian,Rakan",W
PCE,"Renekton,Lillia,Irelia,Tristana,Rakan",L
HLE,"Aatrox,Taliyah,Azir,Miss Fortune,Amumu",W
C9,"Gangplank,Xin Zhao,LeBlanc,Miss Fortune,Rell",L
UOL,"Camille,Lee Sin,Sylas,Senna,Sion",W
DFM,"Urgot,Lillia,Akali,Miss Fortune,Leona",W
BYG,"Aatrox,Xin Zhao,Sylas,Ezreal,Amumu",L
PCE,"Kennen,Nocturne,Tryndamere,Lucian,Braum",W
RED,"Gangplank,Graves,Ryze,Kalista,Leona",L
LNG,"Wukong,Graves,Lissandra,Miss Fortune,Leona",W
INF,"Jayce,Qiyana,LeBlanc,Lucian,Braum",L
DFM,"Sett,Xin Zhao,Orianna,Ezreal,Leona",W
C9,"Jayce,Olaf,Zoey,Miss Fortune,Amumu",L
UOL,"Jayce,Lee Sin,Orianna,Senna,Wukong",L
BYG,"Tahm Kench,Xin Zhao,Ryze,Draven,Rakan",W
